00ROPC9999BOVESPA 99992017030320170303                                                                                                                          
01CCRO        ON      NM201703200264000070CCROC16     000000010000000001630000000000000100000000000055000000000000000500000000000055600000000200000031301ACN    
01CCRO        ON      NM201703200817000070CCROC76     000000010000000001655000000000000000000000000001000000000000000100000000000001100000000200000021302ACN    
01CCRO        ON      NM201703200272000070CCROC46     000000010000000001680000000000001700000000000001100000000000360000000000000362800000000200000081301ACN    
01CCRO        ON      NM201703200280000070CCROC17     000000010000000001730000000000000600000000000043300000000000000100000000000044000000000100000041301ACN    
01CCRO        ON      NM201703200345000070CCROC20     000000010000000002030000000000000000000000000005000000000000000000000000000005000000000100000011301ACN    
01CCRO  FM    ON      NM201703200299000070CCROC47     000000010000000001780000000000012300000000000001400000000000000000000000000013700000000200000031301ACN    
01CCRO  FM    ON      NM201703200302000070CCROC18     000000010000000001830000000000128100000000000052600000000000102400000000000283100000000500000111301ACN    
01CCRO  FM    ON      NM201703200310000070CCROC48     000000010000000001880000000000008000000000000206200000000000064000000000000278200000000400000061301ACN    
01CCRO  FM    ON      NM201703200329000070CCROC19     000000010000000001930000000000004200000000000039100000000000000400000000000043700000000300000051301ACN    
01CCRO  FM    ON      NM201703200337000070CCROC49     000000010000000001980000000000000000000000000028600000000000000000000000000028600000000300000021301ACN    
01CESP        PNB     N1201703200043000070CESPC74     000000010000000001475000000000000000000000000000000000000000000300000000000000300000000100000011242ACN    
01CIEL        ON      NM201703202348000070CIELC86     000000010000000002963000000000000000000000000000000000000000001000000000000001000000000100000011182ACN    
01CIEL        ON      NM201703200833000070CIELC53     000000010000000002379000000000000000000000000006600000000000000000000000000006600000000100000011211ACN    
01CIEL        ON      NM201703200850000070CIELC54     000000010000000002479000000000000000000000000005600000000000000000000000000005600000000200000011211ACN    
01CIEL        ON      NM201703200868000070CIELC25     000000010000000002529000000000000400000000000000000000000000000600000000000001000000000100000031211ACN    
01CIEL        ON      NM201703200876000070CIELC55     000000010000000002579000000000003600000000000010300000000000000000000000000013900000000100000061211ACN    
01CIEL        ON      NM201703200744000070CIELC26     000000010000000002629000000000005800000000000000000000000000000600000000000006400000000300000061211ACN    
01CIEL        ON      NM201703200892000070CIELC27     000000010000000002729000000000052000000000000050000000000000194500000000000296500000000600000081211ACN    
01CIEL        ON      NM201703200906000070CIELC28     000000010000000002829000000000034800000000000006700000000000253400000000000294900000001000000321211ACN    
01CIEL        ON      NM201703200787000070CIELC78     000000010000000002854000000000000600000000000014400000000000002000000000000017000000000200000041212ACN    
01CIEL        ON      NM201703201201000070CIELC9      000000010000000002904000000000000600000000000005000000000000732000000000000737600000000600000111212ACN    
01CIEL        ON      NM201703200922000070CIELC29     000000010000000002929000000000010900000000000014200000000000345700000000000370800000001100000331211ACN    
01CIEL        ON      NM201703200930000070CIELC30     000000010000000003038000000000019300000000000005500000000000019100000000000043900000000900000201211ACN    
01CIEL        ON      NM201703200760000070CIELC61     000000010000000003113000000000000000000000000422800000000000022200000000000445000000000500000051212ACN    
01CIEL        ON      NM201703200957000070CIELC31     000000010000000003138000000000000000000000000000700000000000000300000000000001000000000100000021211ACN    
01CIEL        ON      NM201703200965000070CIELC1      000000010000000003188000000000012700000000000035600000000000000000000000000048300000000200000061211ACN    
01CIEL        ON      NM201703200973000070CIELC32     000000010000000003238000000000000000000000000003000000000000000000000000000003000000000100000011211ACN    
01CIEL        ON      NM201703201090000070CIELC81     000000010000000004113000000000000000000000000460000000000000000000000000000460000000000300000021212ACN    
01CIEL        ON      NM201703200540000070CIELC65     000000010000000002554000000000000000000000000100000000000000000000000000000100000000000200000021222ACN    
01CIEL        ON      NM201703200558000070CIELC66     000000010000000002654000000000000000000000000125000000000000025000000000000150000000000200000021222ACN    
01CIEL  FM    ON      NM201703200884000070CIELC56     000000010000000002679000000000020200000000000027200000000000009900000000000057300000000300000121211ACN    
01CIEL  FM    ON      NM201703200752000070CIELC57     000000010000000002779000000000027100000000000052400000000000197400000000000276900000001000000161211ACN    
01CIEL  FM    ON      NM201703200914000070CIELC58     000000010000000002879000000000032900000000000001000000000000030400000000000064300000001500000271211ACN    
01CIEL  FM    ON      NM201703200728000070CIELC59     000000010000000002988000000000054600000000000074700000000000038900000000000168200000003500000511211ACN    
01CIEL  FM    ON      NM201703200949000070CIELC60     000000010000000003088000000000009700000000000016600000000000001200000000000027500000001000000111211ACN    
